|    a     |    b     |opco|       out        |
| 11111111 | 11111111 | 00 | 0000000111111110 |
| 11111111 | 11111111 | 01 | 0000000011111111 |
| 11111111 | 11111111 | 10 | 1111111000000001 |
| 11111111 | 11111111 | 11 | 0000000000000000 |
| 11111111 | 00000000 | 00 | 0000000011111111 |
| 11111111 | 00000000 | 01 | 0000000000000000 |
| 11111111 | 00000000 | 10 | 0000000000000000 |
| 11111111 | 00000000 | 11 | 0000000011111111 |
| 00000000 | 11111111 | 00 | 0000000011111111 |
| 00000000 | 11111111 | 01 | 0000000000000000 |
| 00000000 | 11111111 | 10 | 0000000000000000 |
| 00000000 | 11111111 | 11 | 0000000011111111 |
| 00000000 | 10101010 | 00 | 0000000010101010 |
| 00000000 | 10101010 | 01 | 0000000000000000 |
| 00000000 | 10101010 | 10 | 0000000000000000 |
| 00000000 | 10101010 | 11 | 0000000010101010 |
| 01011011 | 10001000 | 00 | 0000000011100011 |
| 01011011 | 10001000 | 01 | 0000000000001000 |
| 01011011 | 10001000 | 10 | 0011000001011000 |
| 01011011 | 10001000 | 11 | 0000000011010011 |
| 10010110 | 10010110 | 00 | 0000000100101100 |
| 10010110 | 10010110 | 01 | 0000000010010110 |
| 10010110 | 10010110 | 10 | 0101011111100100 |
| 10010110 | 10010110 | 11 | 0000000000000000 |
