|    a     |    b     |       out        |
| 11111111 | 00000001 | 0000000011111111 |
| 11111111 | 00000010 | 0000000111111110 |
| 11111111 | 00000100 | 0000001111111100 |
| 11111111 | 00001000 | 0000011111111000 |
| 11111111 | 00010000 | 0000111111110000 |
| 11111111 | 00100000 | 0001111111100000 |
| 11111111 | 01000000 | 0011111111000000 |
| 11111111 | 10000000 | 0111111110000000 |
| 00000000 | 00000001 | 0000000000000000 |
| 00000000 | 00000010 | 0000000000000000 |
| 00000000 | 00000100 | 0000000000000000 |
| 00000000 | 00001000 | 0000000000000000 |
| 00000000 | 00010000 | 0000000000000000 |
| 00000000 | 00100000 | 0000000000000000 |
| 00000000 | 01000000 | 0000000000000000 |
| 00000000 | 10000000 | 0000000000000000 |
| 10010110 | 00000001 | 0000000010010110 |
| 10010110 | 00000010 | 0000000100101100 |
| 10010110 | 00000100 | 0000001001011000 |
| 10010110 | 00001000 | 0000010010110000 |
| 10010110 | 00010000 | 0000100101100000 |
| 10010110 | 00100000 | 0001001011000000 |
| 10010110 | 01000000 | 0010010110000000 |
| 10010110 | 10000000 | 0100101100000000 |
| 00000001 | 11111111 | 0000000011111111 |
| 00000010 | 11111111 | 0000000111111110 |
| 00000100 | 11111111 | 0000001111111100 |
| 00001000 | 11111111 | 0000011111111000 |
| 00010000 | 11111111 | 0000111111110000 |
| 00100000 | 11111111 | 0001111111100000 |
| 01000000 | 11111111 | 0011111111000000 |
| 10000000 | 11111111 | 0111111110000000 |
| 00000001 | 00000000 | 0000000000000000 |
| 00000010 | 00000000 | 0000000000000000 |
| 00000100 | 00000000 | 0000000000000000 |
| 00001000 | 00000000 | 0000000000000000 |
| 00010000 | 00000000 | 0000000000000000 |
| 00100000 | 00000000 | 0000000000000000 |
| 01000000 | 00000000 | 0000000000000000 |
| 10000000 | 00000000 | 0000000000000000 |
| 00000001 | 10010110 | 0000000010010110 |
| 00000010 | 10010110 | 0000000100101100 |
| 00000100 | 10010110 | 0000001001011000 |
| 00001000 | 10010110 | 0000010010110000 |
| 00010000 | 10010110 | 0000100101100000 |
| 00100000 | 10010110 | 0001001011000000 |
| 01000000 | 10010110 | 0010010110000000 |
| 10000000 | 10010110 | 0100101100000000 |
| 11111111 | 11111111 | 1111111000000001 |
| 10010110 | 10010110 | 0101011111100100 |
